Episode,Success,Collision,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
160,6,9,8.850931677,6.149068323,8.919463087,6.080536913
161,9,6,8.851851852,6.148148148,8.906040268,6.093959732
162,9,6,8.852760736,6.147239264,8.879194631,6.120805369
163,9,6,8.853658537,6.146341463,8.865771812,6.134228188
164,13,2,8.878787879,6.121212121,8.879194631,6.120805369
165,7,8,8.86746988,6.13253012,8.865771812,6.134228188
166,9,6,8.868263473,6.131736527,8.838926174,6.161073826
167,7,8,8.857142857,6.142857143,8.825503356,6.174496644
168,7,8,8.846153846,6.153846154,8.825503356,6.174496644
169,11,4,8.858823529,6.141176471,8.838926174,6.161073826
170,7,8,8.847953216,6.152046784,8.838926174,6.161073826
171,7,8,8.837209302,6.162790698,8.825503356,6.174496644
172,7,8,8.826589595,6.173410405,8.812080537,6.187919463
173,7,8,8.816091954,6.183908046,8.798657718,6.201342282
174,5,10,8.794285714,6.205714286,8.758389262,6.241610738
175,13,2,8.818181818,6.181818182,8.785234899,6.214765101
176,7,8,8.807909605,6.192090395,8.771812081,6.228187919
177,11,4,8.820224719,6.179775281,8.785234899,6.214765101
178,11,4,8.832402235,6.167597765,8.798657718,6.201342282
179,11,4,8.844444444,6.155555556,8.785234899,6.214765101
180,7,8,8.834254144,6.165745856,8.744966443,6.255033557
181,9,6,8.835164835,6.164835165,8.744966443,6.255033557
182,5,10,8.81420765,6.18579235,8.718120805,6.281879195
183,9,6,8.815217391,6.184782609,8.704697987,6.295302013
184,5,10,8.794594595,6.205405405,8.651006711,6.348993289
185,7,8,8.784946237,6.215053763,8.637583893,6.362416107
186,7,8,8.77540107,6.22459893,8.610738255,6.389261745
187,11,4,8.787234043,6.212765957,8.624161074,6.375838926
188,7,8,8.777777778,6.222222222,8.624161074,6.375838926
189,13,2,8.8,6.2,8.651006711,6.348993289
190,7,8,8.790575916,6.209424084,8.637583893,6.362416107
191,7,8,8.78125,6.21875,8.610738255,6.389261745
192,9,6,8.78238342,6.21761658,8.597315436,6.402684564
193,12,3,8.798969072,6.201030928,8.604026846,6.395973154
194,7,8,8.78974359,6.21025641,8.604026846,6.395973154
195,7,8,8.780612245,6.219387755,8.604026846,6.395973154
196,7,8,8.771573604,6.228426396,8.604026846,6.395973154
197,9,6,8.772727273,6.227272727,8.590604027,6.409395973
198,11,4,8.783919598,6.216080402,8.604026846,6.395973154
199,7,8,8.775,6.225,8.590604027,6.409395973
200,7,8,8.766169154,6.233830846,8.563758389,6.436241611
201,9,6,8.767326733,6.232673267,8.590604027,6.409395973
202,5,10,8.748768473,6.251231527,8.577181208,6.422818792
203,9,6,8.75,6.25,8.563758389,6.436241611
204,11,4,8.76097561,6.23902439,8.577181208,6.422818792
205,7,8,8.752427184,6.247572816,8.563758389,6.436241611
206,5,10,8.734299517,6.265700483,8.536912752,6.463087248
207,8,7,8.730769231,6.269230769,8.523489933,6.476510067
208,9,6,8.732057416,6.267942584,8.523489933,6.476510067
209,9,6,8.733333333,6.266666667,8.536912752,6.463087248
210,7,8,8.725118483,6.274881517,8.536912752,6.463087248
211,11,4,8.735849057,6.264150943,8.523489933,6.476510067
212,5,10,8.718309859,6.281690141,8.496644295,6.503355705
213,7,8,8.710280374,6.289719626,8.496644295,6.503355705
214,9,6,8.711627907,6.288372093,8.496644295,6.503355705
215,5,10,8.694444444,6.305555556,8.483221477,6.516778523
216,9,6,8.695852535,6.304147465,8.483221477,6.516778523
217,9,6,8.697247706,6.302752294,8.496644295,6.503355705
218,5,10,8.680365297,6.319634703,8.469798658,6.530201342
219,9,6,8.681818182,6.318181818,8.469798658,6.530201342
220,9,6,8.683257919,6.316742081,8.496644295,6.503355705
221,6,9,8.671171171,6.328828829,8.476510067,6.523489933
222,9,6,8.67264574,6.32735426,8.489932886,6.510067114
223,9,6,8.674107143,6.325892857,8.476510067,6.523489933
224,7,8,8.666666667,6.333333333,8.463087248,6.536912752
225,7,8,8.659292035,6.340707965,8.463087248,6.536912752
226,9,6,8.660792952,6.339207048,8.463087248,6.536912752
227,7,8,8.653508772,6.346491228,8.476510067,6.523489933
228,5,10,8.637554585,6.362445415,8.44966443,6.55033557
229,5,10,8.62173913,6.37826087,8.436241611,6.563758389
230,7,8,8.614718615,6.385281385,8.422818792,6.577181208
