Episode,,,Mean Success,Mean Collision,Rolling Mean Success,Rolling Mean Collision
163,13,2,13.58537,1.414634146,13.56375839,1.436241611
164,15,0,13.59394,1.406060606,13.56375839,1.436241611
165,13,2,13.59036,1.409638554,13.56375839,1.436241611
166,13,2,13.58683,1.413173653,13.55033557,1.44966443
167,13,2,13.58333,1.416666667,13.53691275,1.463087248
168,13,2,13.57988,1.420118343,13.53691275,1.463087248
169,11,4,13.56471,1.435294118,13.51006711,1.489932886
170,14,1,13.56725,1.432748538,13.52348993,1.476510067
171,14,1,13.56977,1.430232558,13.51677852,1.483221477
172,15,0,13.57803,1.421965318,13.51677852,1.483221477
173,13,2,13.57471,1.425287356,13.51006711,1.489932886
174,15,0,13.58286,1.417142857,13.51006711,1.489932886
175,13,2,13.57955,1.420454545,13.4966443,1.503355705
176,11,4,13.56497,1.435028249,13.47651007,1.523489933
177,15,0,13.57303,1.426966292,13.48993289,1.510067114
178,15,0,13.58101,1.418994413,13.4966443,1.503355705
179,15,0,13.58889,1.411111111,13.52348993,1.476510067
180,13,2,13.58564,1.414364641,13.51006711,1.489932886
181,13,2,13.58242,1.417582418,13.51006711,1.489932886
182,15,0,13.59016,1.409836066,13.51006711,1.489932886
183,15,0,13.59783,1.402173913,13.51006711,1.489932886
184,13,2,13.59459,1.405405405,13.4966443,1.503355705
185,11,4,13.58065,1.419354839,13.48322148,1.516778523
186,15,0,13.58824,1.411764706,13.4966443,1.503355705
187,15,0,13.59574,1.404255319,13.5033557,1.496644295
188,15,0,13.60317,1.396825397,13.51677852,1.483221477
189,14,1,13.60526,1.394736842,13.52348993,1.476510067
190,14,1,13.60733,1.392670157,13.53691275,1.463087248
191,13,2,13.60417,1.395833333,13.53020134,1.469798658
192,15,0,13.6114,1.388601036,13.53020134,1.469798658
193,15,0,13.61856,1.381443299,13.53691275,1.463087248
194,15,0,13.62564,1.374358974,13.55704698,1.44295302
195,9,6,13.60204,1.397959184,13.53691275,1.463087248
196,15,0,13.60914,1.390862944,13.5704698,1.429530201
197,15,0,13.61616,1.383838384,13.58389262,1.416107383
198,13,2,13.61307,1.386934673,13.58389262,1.416107383
199,13,2,13.61,1.39,13.58389262,1.416107383
200,13,2,13.60697,1.393034826,13.5704698,1.429530201
201,15,0,13.61386,1.386138614,13.57718121,1.422818792
202,14,1,13.61576,1.384236453,13.58389262,1.416107383
203,15,0,13.62255,1.37745098,13.60402685,1.395973154
204,15,0,13.62927,1.370731707,13.61744966,1.382550336
205,15,0,13.63592,1.36407767,13.61744966,1.382550336
206,13,2,13.63285,1.367149758,13.60402685,1.395973154
207,15,0,13.63942,1.360576923,13.60402685,1.395973154
208,13,2,13.63636,1.363636364,13.61744966,1.382550336
209,13,2,13.63333,1.366666667,13.60402685,1.395973154
210,15,0,13.63981,1.360189573,13.63087248,1.369127517
211,15,0,13.64623,1.353773585,13.63087248,1.369127517
212,15,0,13.65258,1.34741784,13.63758389,1.362416107
213,13,2,13.64953,1.35046729,13.62416107,1.375838926
214,13,2,13.64651,1.353488372,13.62416107,1.375838926
215,13,2,13.64352,1.356481481,13.61073826,1.389261745
216,13,2,13.64055,1.359447005,13.62416107,1.375838926
217,15,0,13.64679,1.353211009,13.62416107,1.375838926
218,15,0,13.65297,1.347031963,13.63087248,1.369127517
219,13,2,13.65,1.35,13.61744966,1.382550336
220,13,2,13.64706,1.352941176,13.63087248,1.369127517
221,15,0,13.65315,1.346846847,13.63087248,1.369127517
222,14,1,13.65471,1.34529148,13.62416107,1.375838926
223,13,2,13.65179,1.348214286,13.63087248,1.369127517
224,14,1,13.65333,1.346666667,13.63758389,1.362416107
225,13,2,13.65044,1.349557522,13.63758389,1.362416107
226,14,1,13.65198,1.348017621,13.6442953,1.355704698
227,12,3,13.64474,1.355263158,13.62416107,1.375838926
228,15,0,13.65066,1.349344978,13.65100671,1.348993289
229,11,4,13.63913,1.360869565,13.65100671,1.348993289
230,12,3,13.63203,1.367965368,13.6442953,1.355704698
231,14,1,13.63362,1.36637931,13.63758389,1.362416107
232,14,1,13.63519,1.364806867,13.6442953,1.355704698
233,10,5,13.61966,1.38034188,13.62416107,1.375838926
234,12,3,13.61277,1.387234043,13.60402685,1.395973154
235,11,4,13.60169,1.398305085,13.58389262,1.416107383
236,13,2,13.59916,1.400843882,13.57718121,1.422818792
237,12,3,13.59244,1.407563025,13.5704698,1.429530201
238,14,1,13.59414,1.405857741,13.56375839,1.436241611
239,13,2,13.59167,1.408333333,13.56375839,1.436241611
240,13,2,13.58921,1.410788382,13.55033557,1.44966443
241,10,5,13.57438,1.425619835,13.53020134,1.469798658
242,15,0,13.58025,1.419753086,13.53020134,1.469798658
243,13,2,13.57787,1.422131148,13.51677852,1.483221477
244,12,3,13.57143,1.428571429,13.4966443,1.503355705
245,12,3,13.56504,1.43495935,13.48993289,1.510067114
246,9,6,13.54656,1.453441296,13.44966443,1.55033557
247,15,0,13.55242,1.447580645,13.44966443,1.55033557
248,13,2,13.5502,1.449799197,13.44966443,1.55033557
249,9,6,13.532,1.468,13.40939597,1.590604027
