Episode,Success,Collision,Suc Mean,Col Mean,Log Suc Mean,Log Col Mean,Std Dev,150 rolling Mean Suc,150 rolling Mean Col,Log Suc Roll Mean,Log Col Roll Mean,Total Success,Total Collision
52,4,4,1.169811321,6.830188679,0.156842471,1.921352298,0.328099529,0,8,-2,2.079441542,62,362
53,2,6,1.185185185,6.814814815,0.169899037,1.919098892,0.329696713,0,8,-2,2.079441542,64,368
54,0,8,1.163636364,6.836363636,0.151549898,1.922255958,0.330609925,0,8,-2,2.079441542,64,376
55,0,8,1.142857143,6.857142857,0.133531393,1.925290862,0.330952361,0,8,-2,2.079441542,64,384
56,0,8,1.122807018,6.877192982,0.115831816,1.928210572,0.330818161,0,8,-2,2.079441542,64,392
57,4,4,1.172413793,6.827586207,0.159064695,1.920971201,0.331471052,0,8,-2,2.079441542,68,396
58,0,8,1.152542373,6.847457627,0.141970261,1.923877434,0.331631311,0,8,-2,2.079441542,68,404
59,0,8,1.133333333,6.866666667,0.125163143,1.926678787,0.331377165,0,8,-2,2.079441542,68,412
60,2,6,1.147540984,6.852459016,0.137621378,1.924607568,0.331271808,0,8,-2,2.079441542,70,418
61,2,6,1.161290323,6.838709677,0.149531734,1.92259907,0.331303692,0,8,-2,2.079441542,72,424
62,2,6,1.174603175,6.825396825,0.160930367,1.920650482,0.331461733,0,8,-2,2.079441542,74,430
63,2,6,1.1875,6.8125,0.171850257,1.91875916,0.331735355,0,8,-2,2.079441542,76,436
64,2,6,1.2,6.8,0.182321557,1.916922612,0.332114507,0,8,-2,2.079441542,78,442
65,0,8,1.181818182,6.818181818,0.167054085,1.919592841,0.332113805,0,8,-2,2.079441542,78,450
66,0,8,1.164179104,6.835820896,0.152016207,1.922176565,0.331788556,0,8,-2,2.079441542,78,458
67,2,6,1.176470588,6.823529412,0.162518929,1.920376847,0.331578412,0,8,-2,2.079441542,80,464
68,2,6,1.188405797,6.811594203,0.172612743,1.91862619,0.331475481,0,8,-2,2.079441542,82,470
69,0,8,1.171428571,6.828571429,0.158224005,1.92111549,0.331084314,0,8,-2,2.079441542,82,478
70,4,4,1.211267606,6.788732394,0.191667419,1.915264237,0.331184695,0,8,-2,2.079441542,86,482
71,0,8,1.194444444,6.805555556,0.177681177,1.917739272,0.330987886,0,8,-2,2.079441542,86,490
72,0,8,1.178082192,6.821917808,0.163887855,1.920140636,0.330534647,0,8,-2,2.079441542,86,498
73,4,4,1.216216216,6.783783784,0.195744577,1.914535026,0.330526491,0,8,-2,2.079441542,90,502
74,2,6,1.226666667,6.773333333,0.204300464,1.912993334,0.330598474,0,8,-2,2.079441542,92,508
75,0,8,1.210526316,6.789473684,0.191055237,1.915373425,0.330403028,0,8,-2,2.079441542,92,516
76,2,6,1.220779221,6.779220779,0.19948936,1.913862166,0.33028847,0,8,-2,2.079441542,94,522
77,6,2,1.282051282,6.717948718,0.248461359,1.904782858,0.330946507,0,8,-2,2.079441542,100,524
78,0,8,1.265822785,6.734177215,0.235722334,1.907195637,0.331292503,0,8,-2,2.079441542,100,532
79,0,8,1.25,6.75,0.223143551,1.909542505,0.331364856,0,8,-2,2.079441542,100,540
80,2,6,1.259259259,6.740740741,0.230523659,1.908169821,0.33149883,0,8,-2,2.079441542,102,546
81,0,8,1.243902439,6.756097561,0.218253566,1.910445439,0.331391591,0,8,-2,2.079441542,102,554
82,0,8,1.228915663,6.771084337,0.206132205,1.912661242,0.33107263,0,8,-2,2.079441542,102,562
83,2,6,1.238095238,6.761904762,0.2135741,1.91130462,0.330821491,0,8,-2,2.079441542,104,568
84,0,8,1.223529412,6.776470588,0.201739643,1.913456404,0.330382221,0,8,-2,2.079441542,104,576
85,2,6,1.23255814,6.76744186,0.209091798,1.912123151,0.3300103,0,8,-2,2.079441542,106,582
86,2,6,1.24137931,6.75862069,0.216223108,1.910818829,0.329702262,0,8,-2,2.079441542,108,588
87,4,4,1.272727273,6.727272727,0.241162057,1.90616982,0.329702866,0,8,-2,2.079441542,112,592
88,0,8,1.258426966,6.741573034,0.229862502,1.908293285,0.329507215,0,8,-2,2.079441542,112,600
89,6,2,1.311111111,6.688888889,0.270874954,1.900447775,0.329870202,0,8,-2,2.079441542,118,602
90,4,4,1.340659341,6.659340659,0.293161538,1.89602048,0.330540296,0,8,-2,2.079441542,122,606
91,2,6,1.347826087,6.652173913,0.298492989,1.894943705,0.331231495,0,8,-2,2.079441542,124,612
92,2,6,1.35483871,6.64516129,0.303682414,1.893888964,0.331941457,0,8,-2,2.079441542,126,618
93,2,6,1.361702128,6.638297872,0.308735482,1.892855586,0.33266799,0,8,-2,2.079441542,128,624
94,0,8,1.347368421,6.652631579,0.298153372,1.895012503,0.33315343,0,8,-2,2.079441542,128,632
95,0,8,1.333333333,6.666666667,0.287682072,1.897119985,0.333422884,0,8,-2,2.079441542,128,640
96,2,6,1.340206186,6.659793814,0.292823472,1.896088525,0.33372131,0,8,-2,2.079441542,130,646
97,4,4,1.367346939,6.632653061,0.312872321,1.892004884,0.334278662,0,8,-2,2.079441542,134,650
98,2,6,1.373737374,6.626262626,0.317535036,1.891040939,0.334852414,0,8,-2,2.079441542,136,656
99,4,4,1.4,6.6,0.336472237,1.887069649,0.335677617,0,8,-2,2.079441542,140,660
100,2,6,1.405940594,6.594059406,0.340706541,1.886169154,0.336506711,0,8,-2,2.079441542,142,666
101,4,4,1.431372549,6.568627451,0.358633808,1.882304899,0.337577995,0,8,-2,2.079441542,146,670
102,2,6,1.436893204,6.563106796,0.362483286,1.881464088,0.338641026,0,8,-2,2.079441542,148,676
103,4,4,1.461538462,6.538461538,0.379489622,1.877701899,0.339935751,0,8,-2,2.079441542,152,680
104,2,6,1.466666667,6.533333333,0.382992252,1.876917278,0.341210677,0,8,-2,2.079441542,154,686
105,2,6,1.471698113,6.528301887,0.386416913,1.876146862,0.342465681,0,8,-2,2.079441542,156,692
106,4,4,1.495327103,6.504672897,0.402344981,1.872520826,0.343935997,0,8,-2,2.079441542,160,696
107,4,4,1.518518519,6.481481481,0.417735201,1.868949108,0.345615132,0,8,-2,2.079441542,164,700
108,2,6,1.52293578,6.47706422,0.420639906,1.868267355,0.34725361,0,8,-2,2.079441542,166,706
109,0,8,1.509090909,6.490909091,0.411507423,1.870402597,0.348624105,0,8,-2,2.079441542,166,714
110,2,6,1.513513514,6.486486486,0.414433778,1.869721011,0.349965968,0,8,-2,2.079441542,168,720
111,2,6,1.517857143,6.482142857,0.417299566,1.869051144,0.351279657,0,8,-2,2.079441542,170,726
112,2,6,1.522123894,6.477876106,0.420106658,1.868392695,0.352565631,0,8,-2,2.079441542,172,732
113,2,6,1.526315789,6.473684211,0.422856851,1.867745376,0.35382435,0,8,-2,2.079441542,174,738
114,2,6,1.530434783,6.469565217,0.425551867,1.867108906,0.355056274,0,8,-2,2.079441542,176,744
115,2,6,1.534482759,6.465517241,0.428193359,1.866483015,0.356261864,0,8,-2,2.079441542,178,750
116,2,6,1.538461538,6.461538462,0.430782916,1.865867441,0.35744158,0,8,-2,2.079441542,180,756
117,2,6,1.542372881,6.457627119,0.433322063,1.865261931,0.358595877,0,8,-2,2.079441542,182,762
118,2,6,1.546218487,6.453781513,0.435812264,1.86466624,0.359725211,0,8,-2,2.079441542,184,768
119,2,6,1.55,6.45,0.438254931,1.864080131,0.360830031,0,8,-2,2.079441542,186,774
120,2,6,1.553719008,6.446280992,0.440651417,1.863503374,0.361910786,0,8,-2,2.079441542,188,780
121,2,6,1.557377049,6.442622951,0.443003027,1.862935748,0.362967916,0,8,-2,2.079441542,190,786
122,0,8,1.544715447,6.455284553,0.434839717,1.864899106,0.363833488,0,8,-2,2.079441542,190,794
123,2,6,1.548387097,6.451612903,0.437213806,1.864330162,0.364682628,0,8,-2,2.079441542,192,800
124,6,2,1.584,6.416,0.459953293,1.858794871,0.365845397,0,8,-2,2.079441542,198,802
125,2,6,1.587301587,6.412698413,0.46203546,1.858280152,0.366979681,0,8,-2,2.079441542,200,808
126,6,2,1.622047244,6.377952756,0.483689082,1.852847161,0.368423916,0,8,-2,2.079441542,206,810
127,2,6,1.625,6.375,0.485507816,1.852384091,0.369827686,0,8,-2,2.079441542,208,816
128,4,4,1.643410853,6.356589147,0.49677387,1.849491936,0.371361402,0,8,-2,2.079441542,212,820
129,2,6,1.646153846,6.353846154,0.498441565,1.849060323,0.372850237,0,8,-2,2.079441542,214,826
130,6,2,1.679389313,6.320610687,0.518430223,1.843815831,0.374633479,0,8,-2,2.079441542,220,828
131,2,6,1.681818182,6.318181818,0.519875459,1.84343148,0.376360746,0,8,-2,2.079441542,222,834
132,2,6,1.684210526,6.315789474,0.521296924,1.843052764,0.378034048,0,8,-2,2.079441542,224,840
133,2,6,1.686567164,6.313432836,0.522695199,1.84267956,0.379655297,0,8,-2,2.079441542,226,846
134,4,4,1.703703704,6.296296296,0.53280453,1.839961571,0.381386917,0,8,-2,2.079441542,230,850
135,4,4,1.720588235,6.279411765,0.54266623,1.837276308,0.383224539,0,8,-2,2.079441542,234,854
136,0,8,1.708029197,6.291970803,0.53534019,1.839274345,0.384845017,0,8,-2,2.079441542,234,862
137,2,6,1.710144928,6.289855072,0.53657812,1.83893803,0.386414384,0,8,-2,2.079441542,236,868
138,2,6,1.712230216,6.287769784,0.537796741,1.838606443,0.387934428,0,8,-2,2.079441542,238,874
139,2,6,1.714285714,6.285714286,0.538996501,1.838279485,0.389406856,0,8,-2,2.079441542,240,880
140,2,6,1.716312057,6.283687943,0.540177836,1.83795706,0.390833294,0,8,-2,2.079441542,242,886
141,2,6,1.718309859,6.281690141,0.541341168,1.837639075,0.392215298,0,8,-2,2.079441542,244,892
142,2,6,1.72027972,6.27972028,0.542486906,1.837325438,0.393554354,0,8,-2,2.079441542,246,898
143,2,6,1.722222222,6.277777778,0.543615447,1.837016061,0.394851883,0,8,-2,2.079441542,248,904
144,4,4,1.737931034,6.262068966,0.552695345,1.834510636,0.396241971,0,8,-2,2.079441542,252,908
145,0,8,1.726027397,6.273972603,0.545822466,1.836409743,0.397458262,0,8,-2,2.079441542,252,916
146,4,4,1.741496599,6.258503401,0.554744858,1.833941083,0.398764411,0,8,-2,2.079441542,256,920
147,2,6,1.743243243,6.256756757,0.555747311,1.833661961,0.400029563,0,8,-2,2.079441542,258,926
148,4,4,1.758389262,6.241610738,0.564398198,1.83123828,0.40138038,0,8,-2,2.079441542,262,930
149,2,6,1.76,6.24,0.565313809,1.830980182,0.402688267,1.76,6.24,0.565313809,1.830980182,264,936
150,4,4,1.774834437,6.225165563,0.573707144,1.828600038,0.404077798,1.786666667,6.213333333,0.580351686,1.826697521,268,940
151,2,6,1.776315789,6.223684211,0.574541438,1.828362048,0.405422715,1.8,6.2,0.587786665,1.824549292,270,946
152,0,8,1.764705882,6.235294118,0.567984038,1.83022575,0.406606295,1.8,6.2,0.587786665,1.824549292,270,954
153,2,6,1.766233766,6.233766234,0.568849464,1.829980682,0.407752396,1.813333333,6.186666667,0.595166772,1.822396439,272,960
154,2,6,1.767741935,6.232258065,0.569702989,1.829738717,0.408862216,1.813333333,6.186666667,0.595166772,1.822396439,274,966
155,2,6,1.769230769,6.230769231,0.570544858,1.829499797,0.4099369,1.826666667,6.173333333,0.602492812,1.820238941,276,972
156,2,6,1.770700637,6.229299363,0.571375308,1.829263865,0.410977551,1.826666667,6.173333333,0.602492812,1.820238941,278,978
157,2,6,1.772151899,6.227848101,0.57219457,1.829030864,0.411985226,1.84,6.16,0.609765572,1.818076778,280,984
158,4,4,1.786163522,6.213836478,0.580070036,1.826778496,0.413066321,1.866666667,6.133333333,0.624154309,1.813738376,284,988
159,2,6,1.7875,6.2125,0.580817996,1.826563391,0.414112911,1.866666667,6.133333333,0.624154309,1.813738376,286,994
160,4,4,1.801242236,6.198757764,0.588476558,1.824348911,0.415229829,1.893333333,6.106666667,0.638338944,1.809381071,290,998
